Name,Condition,Severity,Target scope,Target resource type,Signal type,Status
blob_storage_health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,devdpslabint,All,microsoft.insights/activitylogalerts,Enabled
blob_storage_health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,pfdpslabint,All,microsoft.insights/activitylogalerts,Enabled
blob_storage_health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,qadpslabint,All,microsoft.insights/activitylogalerts,Enabled
cosmosdb resource health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,prestage-dps-utility-cosmos-account,All,microsoft.insights/activitylogalerts,Enabled
cosmosdb resource health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,prod-dps-utility-cosmos-account,All,microsoft.insights/activitylogalerts,Enabled
cosmosdb resource health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,stage-dps-utility-cosmos-account,All,microsoft.insights/activitylogalerts,Enabled
cosmosdb resource health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,dev-dps-utility-cosmos-account,All,microsoft.insights/activitylogalerts,Enabled
cosmosdb resource health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,pf-dps-utility-cosmos-account,All,microsoft.insights/activitylogalerts,Enabled
cosmosdb resource health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,qa-dps-utility-cosmos-account,All,microsoft.insights/activitylogalerts,Enabled
cosmosruscaledown,NormalizedRUConsumption < 50,Sev3,pf-dps-utility-cosmos-account,Azure Cosmos DB account,microsoft.insights/metricalerts,Enabled
cosmosruscaleup,NormalizedRUConsumption > 70,Sev3,pf-dps-utility-cosmos-account,Azure Cosmos DB account,microsoft.insights/metricalerts,Enabled
cpu percent,Percentage CPU > 80,Sev3,AVD-CC-9,Virtual machine,microsoft.insights/metricalerts,Enabled
cpu percentage,cpu_percent > 90 and 1 more condition,Sev0,prd-fis-portal-eus-sql/fis-portal,SQL database,microsoft.insights/metricalerts,Enabled
CPU TIME,CpuTime greater or less than dynamic threshold,Sev3,D360Members,App Service,microsoft.insights/metricalerts,Enabled
Create Test Result Failed - 5xx error threshold breached,Table rows > 1 ,Sev1,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
critical,Table rows > 80 ,Sev3,DECS-RAPIDLOG-01,Virtual machine,microsoft.insights/scheduledqueryrules,Enabled
Critical-Attachment Processor Failed,Table rows >= 10 ,Sev0,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Attachment Processor Failed,Table rows >= 10 ,Sev0,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Attachment Processor Failed,Table rows >= 10 ,Sev0,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Attachment Processor Failed,Table rows >= 10 ,Sev0,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Attachment Processor Failed,Table rows >= 10 ,Sev0,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Attachment Processor Failed,Table rows >= 10 ,Sev0,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Clock Letter Received Trigger failed,Table rows >= 10 ,Sev0,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Clock Letter Received Trigger failed,Table rows >= 10 ,Sev0,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Clock Letter Received Trigger failed,Table rows >= 10 ,Sev0,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Clock Letter Received Trigger failed,Table rows >= 10 ,Sev0,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Clock Letter Received Trigger failed,Table rows >= 10 ,Sev0,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Clock Letter Received Trigger failed,Table rows >= 10 ,Sev0,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result Failed - 5xx error threshold breached,Table rows >= 100 ,Sev0,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result Failed - 5xx error threshold breached,Table rows >= 100 ,Sev0,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result Failed - 5xx error threshold breached,Table rows >= 100 ,Sev0,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result Failed - 5xx error threshold breached,Table rows >= 100 ,Sev0,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result Failed - 5xx error threshold breached,Table rows >= 100 ,Sev0,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Create Test Result Failed - 5xx error threshold breached,Table rows >= 100 ,Sev0,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 4xx error threshold breached,Table rows >= 100 ,Sev0,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 5xx error threshold breached,Table rows >= 100 ,Sev0,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 5xx error threshold breached,Table rows >= 100 ,Sev0,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 5xx error threshold breached,Table rows >= 100 ,Sev0,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 5xx error threshold breached,Table rows >= 100 ,Sev0,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 5xx error threshold breached,Table rows >= 100 ,Sev0,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Edit Test Result - 5xx error threshold breached,Table rows >= 100 ,Sev0,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO clock letter file to processed folder,Table rows >= 20 ,Sev0,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO clock letter file to processed folder,Table rows >= 20 ,Sev0,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO clock letter file to processed folder,Table rows >= 20 ,Sev0,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO clock letter file to processed folder,Table rows >= 20 ,Sev0,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO clock letter file to processed folder,Table rows >= 20 ,Sev0,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO clock letter file to processed folder,Table rows >= 20 ,Sev0,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO pending result file to processed folder,Table rows >= 5 ,Sev0,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO pending result file to processed folder,Table rows >= 5 ,Sev0,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO pending result file to processed folder,Table rows >= 5 ,Sev0,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO pending result file to processed folder,Table rows >= 5 ,Sev0,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO pending result file to processed folder,Table rows >= 5 ,Sev0,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to copy MRO pending result file to processed folder,Table rows >= 5 ,Sev0,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO non-reportable file to processed folder,Table rows >= 20 ,Sev0,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO non-reportable file to processed folder,Table rows >= 20 ,Sev0,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO non-reportable file to processed folder,Table rows >= 20 ,Sev0,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO non-reportable file to processed folder,Table rows >= 20 ,Sev0,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO non-reportable file to processed folder,Table rows >= 20 ,Sev0,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO non-reportable file to processed folder,Table rows >= 20 ,Sev0,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO safety letter file to processed folder,Table rows >= 20 ,Sev0,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO safety letter file to processed folder,Table rows >= 20 ,Sev0,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO safety letter file to processed folder,Table rows >= 20 ,Sev0,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO safety letter file to processed folder,Table rows >= 20 ,Sev0,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO safety letter file to processed folder,Table rows >= 20 ,Sev0,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload  MRO safety letter file to processed folder,Table rows >= 20 ,Sev0,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload MRO Result ccf file to processed folder,Table rows >= 20 ,Sev0,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload MRO Result ccf file to processed folder,Table rows >= 20 ,Sev0,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload MRO Result ccf file to processed folder,Table rows >= 20 ,Sev0,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload MRO Result ccf file to processed folder,Table rows >= 20 ,Sev0,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload MRO Result ccf file to processed folder,Table rows >= 20 ,Sev0,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Critical-Failed to upload MRO Result ccf file to processed folder,Table rows >= 20 ,Sev0,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
